,Sector,Category,Crop,QueryType,QueryText,KccAns,DistrictName,isPaddy
19082,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Sheath rot in Paddy,Recommended to spray Tebuconazole 50% + Trifloxystrobin 25%WG (Nativo) @ 8gm with 15 liter of water for control of Sheath rot in Paddy.,BARGARH,1
19083,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer infestation in paddy,Recommended to spray Tetraniliprole 200 SC @ 100 –120 ml/acre of land,BARGARH,1
19084,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf blast preventive control,Recommended to spray Tebuconazole 50% +Trifloxystrobin 25% (Nativo 75 WG) @ 80 g/acre. Use 200 litre of water per acre for controlling the disease.,BARGARH,1
19105,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,3rd dose for Fertilizer application in paddy,"Recommended to apply Urea @ 20 kg and MOP @ 15 kg per acre as 3rd dose for Fertilizer application in paddy
.",BARGARH,1
19108,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	," Gundhi bug in paddy 
","Recommended to spray Dichlorovos 76 EC @ 400 ml per 200 litre of water per 1 acre of land(30ml in 15 litre water) for Gundhi bug in paddy 
",BARGARH,1
19110,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,"Brown spot of Paddy
","Recommended to spray Antracol (Tricyclazole 18% + Mancozeb 62% WP) @ 400 g in 200 Litre water per acre of land (2 g in 1 Litre water) to control Brown spot of Paddy
",BARGARH,1
19111,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper in Paddy,Recommended to spray Imagine upl (Flupyrine 10 % SC) @ 2 ml per litre to control Brown plant hopper in Rice.,BARGARH,1
19113,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Bacterial leaf blight in Paddy,"Recommended to spray Copper Oxychloride 600 g + Plantomycin 200 g in 200 litre of water per 1 acre of land (Copper Oxychloride @ 45 g + Plantomycin 15 g in 15 Litre water) to control Bacterial leaf blight in Paddy.
",BARGARH,1
19115,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Root rot in paddy ,"Recommended to spray Ridomil gold ( Metalaxyl-m  4% w/w + Mancozeb - 64% w/w ) @ 500 gm per 200 litre of water per 1 acre of land  ( foot rot , red rot , sett rot , phytopthora blight )38gm in 15litre water ",BARGARH,1
19116,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper in Paddy,Recommended to spray Imagine upl (Flupyrine 10 % SC) @ 2 ml per litre to control Brown plant hopper in Rice.,BARGARH,1
19118,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Sheath blight in paddy ,Recommended to spray Nativo ( Tebuconazole 50% + Trifloxystrobin 25 % ) @ 80 gm per 200 litre of water per 1 acre of land ,BARGARH,1
19123,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Sheath blight infestation in paddy ,Recommended to spray Nativo (Tebuconazole 50% + Trifloxystrobin 25% WG) @ 100 g in 200 Litre water (8 g in 15 Litre water) per acre.,BARGARH,1
19132,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper in paddy,Recommended to spray Osheen ( Dinotefuran 20% SG ) @ 80 gm per 200 litre of water per 1 acre of land or 6 gm in 15 liter of water.,BARGARH,1
19135,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Rice case worm,"Recommended to spray (Chloropyriphos 50 EC + Cypermethrin 5% EC ) @ 400 ml per 200 litre of water per 1 acre of land 
Mix 400 ml of kerosene with 10 kg of sand and apply to the standing water. Dislodge the cases by passing a rope and then drain water; collect the cases and destroy.",BARGARH,1
19136,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Fertilizer dose for paddy ,Recommended to apply Urea @ 20 kg and MOP @ 15 kg per acre as third top dressing fertiliser in Paddy,BARGARH,1
19137,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Sheath blight in paddy ,"Recommended to spray Nativo (Tebuconazole 50% + Trifloxystrobin 25% WG) @ 100 g in 200 Litre water (8 g in 15 Litre water) per acre to control Sheath rot in Paddy.Recommended to spray Tricyclazole 75 WP @ 130 g per 200 litre of water per 1 acre of land 
",BARGARH,1
19139,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Root rot in paddy,Recommended to spray Ridomil gold ( Metalaxyl-m  4% w/w + Mancozeb - 64% w/w ) @ 500 g per 200 litre of water per 1 acre of land (2.5 gm / 1 liter of water) to control Root rot in Paddy.,BARGARH,1
19153,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Brown plant hopper in paddy ,Recommended to spray Chess ( Pymetrozine 50 % WG ) @ 120 g per 200 litre of water per 1 acre of land (9 g per 15 litre water) for Brown plant hopper in paddy ,BARGARH,1
19154,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown Plant Hopper in paddy,Recommended to spray DuPont's Pexalon (Triflumezopyrim 10% SC) @ 1320 ml per  200 litre of water per acre of land (10 ml per 15 litre) of water to control Brown Plant Hopper in paddy,BARGARH,1
19156,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Sheath blight in Paddy,Advised to wait some days for see result then call again for suggestion.,BARGARH,1
19161,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Root rot in paddy,"Recommended to soil drench with SAAF (Carbendazim- 12% + Mancozeb - 63% ) @ 600 g per 200 litre of water per 1 acre of land (3 g in 1 Litre water) to control Root rot in Paddy
",BARGARH,1
19162,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Blast and brown spot in Paddy ,Recommended to spray (Propiconazole 10.7% + Tricyclazole 34.2% SE)25ml in 15liters water to control Blast and brown spot in Paddy ,BARGARH,1
19165,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Can work Pexalon pesticide apply in paddy then after 6 hour rain occure,Yes it will work suddenly as pexalon + sticker which will increases work efficiency.,BARGARH,1
19167,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Rat in Paddy field,--Recommended to apply Celphos tablet in Rat hole and block the opening with mud to kill the Rat in Paddy field,BARGARH,1
19168,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Gundhi bug in Paddy,Recommended to spray Malathion 50%ec 30ml or Dichlorovos 76%ec 30ml in 15 liters water to control Gundhi bug in Paddy.,BARGARH,1
19169,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Sheath Rot and blast in paddy ,Recommended to spray (Tricyclazole 45% + Hexaconazole 10% WG)15gm in 15 liters water Sheath Rot and blast in paddy ,BARGARH,1
19176,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Blast in Paddy,Recommended to spray Tricyclazole 75 WP @ 130 g per 200 litre of water per 1 acre of land to control Blast in Paddy.,BARGARH,1
19183,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Mites prevention in paddy,"Recommended to spray Cypermethrin 5% EC @ 400 ml per 200 litre of water per 1 acre of land 
",BARGARH,1
19185,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Impact of chemicals in Plant,Advised to go for spraying of water and then spray Polyfeed (19-19-19) @ 6g with 1 liter of water for good growth of Plant.,BARGARH,1
19186,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown spot in paddy,Recommended to spray Antracol (Propineb 70 % WP) @ 400 g in 200 Litre water per acre of land (2 g in 1 Litre water) to control Brown spot of Paddy,BARGARH,1
19188,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Blast in Paddy,Recommended to spray Antracol (Tricyclazole 18% + Mancozeb 62% WP) @ 400 g in 200 Litre water per acre of land (2 g in 1 Litre water) to control Blast in paddy.,BARGARH,1
19189,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Neck Blast in Paddy ,Recommended to spray Isoprothiolane 40% EC@ 300 ml per 200 litre of water per acre (1.5 ml/ litre of water) to control Neck Blast in Paddy ,BARGARH,1
19193,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Gall midge in Paddy,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) to control Gall midge in Paddy,BARGARH,1
19200,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Brown plant hopper in paddy ,Recommended to spray Chess ( Pymetrozine 50 % WG ) @ 120 g per 200 litre of water per 1 acre of land (9 g per 15 litre water) for Brown plant hopper in paddy ,BARGARH,1
19201,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Brown plant hopper in paddy ,Recommended to spray Chess ( Pymetrozine 50 % WG ) @ 120 g per 200 litre of water per 1 acre of land (9 g per 15 litre water) for Brown plant hopper in paddy. ,BARGARH,1
19207,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Blast in Paddy,"Recommended to spray Tricyclazole 75 WP @ 130 g per 200 litre of water per 1 acre of land to control Blast in Paddy
",BARGARH,1
19210,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper attack in Paddy,Recommended to spray Osheen (Dinotefuran 20% SG ) @ 80 g per 200 litre of water per 1 acre of land (6 g in 15 Litre water) to control Brown plant hopper attack in Paddy.,BARGARH,1
19218,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Root rot in Paddy,Recommended to spray Ridomil gold (Metalaxyl-m  4% w/w + Mancozeb - 64% w/w ) @ 500 g per 200 litre of water per 1 acre of land (2.5 gm / 1 liter of water),BARGARH,1
19222,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Rice earhead bug in paddy,Recommended to spray Dichlorvos 76 EC @ 400 ml per 200 litre of water per 1 acre of land for control Rice earhead bug in paddy.,BARGARH,1
19224,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Nutrient Management at Panicle emergence stage,Recommended to give urea -15 kg per acre of land then after 7 days spray Agromin gold @ 2ml per liter of water.,BARGARH,1
19232,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Rice gundi bug infestation in paddy,Advised to use Syngenta Actara 0.5g per litre of water for Rice gundi bug infestation in paddy. ,BARGARH,1
19235,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Gundhi bug in paddy,Recommended to spray Dichlorovos 76 EC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) to control gundhi bug in paddy. ,BARGARH,1
19243,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,BPH attack in Paddy,Recommended to spray Chess ( Pymetrozine 50 % WG ) @ 120 g per 200 litre of water per 1 acre of land (9 g per 15 litre water),BARGARH,1
19244,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Bacterial leaf blight in Paddy,Recommended to spray Copper Oxychloride 600 g + Plantomycin 200 g in 200 litre of water per 1 acre of land (Copper Oxychloride @ 45 g + Plantomycin 15 g in 15 Litre water) to control Bacterial leaf blight in Paddy.,BARGARH,1
19252,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Sheath Rot  in Paddy,Recommended to spray Hexaconazole 5%sc 30ml +Plantomycin 15gm in 15 liters water to control Sheath Rot  in Paddy,BARGARH,1
19253,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Bacterial leaf blight in Paddy,Recommended to spray Copper Oxychloride 600 g + Plantomycin 200 g in 200 litre of water per 1 acre of land (Copper Oxychloride @ 45 g + Plantomycin 15 g in 15 Litre water) to control Bacterial leaf blight in Paddy.,BARGARH,1
19256,AGRICULTURE,Cereals,Paddy (Dhan),Storage,Storage pest in Rice store,Recommended to keep Celphos tablets in the four corners  of the rice store,BARGARH,1
19260,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,"Bacterial Leaf Blight in Paddy 
","Recommended to spray Plantomycin 15gm+Copper Oxychloride 50%wp 45gm in 15 liters water to control Bacterial Leaf Blight in Paddy 

",BARGARH,1
19263,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Sheath rot in paddy,Recommended to spray Nativo (Tebuconazole 50% + Trifloxystrobin 25% WG) @ 100 g in 200 Litre water (8 g in 15 Litre water) per acre to control Sheath rot in paddy.,BARGARH,1
19269,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Infestation of Brown Plant Hopper in Paddy,Recommended to spray Chess ( Pymetrozine 50 % WG ) @ 120 g per 200 litre of water per 1 acre of land (9 g per 15 litre water),BARGARH,1
19272,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in paddy ,Recommended to spray Bayer Regent or Iffco Shinzan plus Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) for Stem borer in paddy ,BARGARH,1
19274,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper in Paddy,Recommended to spray Pymetrozine 50%WG(CHESS) @ 10gm with 15 liter of water for control of Brown plant hopper in Paddy.,BARGARH,1
19278,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Bacterial leaf blight in paddy ,Recommended to spray Conika (Copper Oxychloride 45% + Kasugamycin 5%) @ 300 g in 200 Litre of water per acre to control Bacterial leaf blight in Paddy,BARGARH,1
19281,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in paddy,Recommended to spray cartap hydrochloride 50 SP @ 400gm/200lit water for control of stem borer in paddy.,BARGARH,1
19284,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Leaf blast in paddy ,Recommended to spray Tebuconazole 50%+Trifloxystrobin 25% (Nativo75 WG) @ 80 g/acre,BARGARH,1
19288,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Fertilizer requirement for Paddy ,Recommended to apply Urea- 20 kg and MOP- 15 Kg per acre of land for Paddy,BARGARH,1
19295,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Mealy bug in Paddy,Recommended to spray Sivanto Bayer (Flupyradifurone 17.09% SL) @ 2 ml per litre to control the Mealy bug in Paddy,BARGARH,1
19296,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Blast in Paddy,Recommended to spray Tricyclazole 75 WP @ 130 g per 200 litre of water per 1 acre of land to control Blast in Paddy,BARGARH,1
19304,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Infestation of Blast in Paddy,Recommended to spray Nativo (Tebuconazole 50% + Trifloxystrobin 25% WG) @ 100 g in 200 Litre water (8 g in 15 Litre water)  and spray broad spectrum fungicide Custodia ( azoxystrobin 11% + tebuconazole 18.3 % SC ) @ 400 ml per 200 litre of water per 1 acre of land ( 30 ml in 15 L water),BARGARH,1
19312,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper  infestation and stem borer infestation in paddy,Recommended to spray Synergy 505/Tiger/Double Star  (Chlorpyriphos 50% + Cypermethrin 5% EC ) @ 400 ml per 200 litre of water(30ml/15lt of water),BARGARH,1
19313,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Root rot in paddy,Recommended to spray Ridomil gold ( Metalaxyl-m  4% w/w + Mancozeb - 64% w/w ) @ 500 g per 200 litre of water per 1 acre of land (2.5 gm / 1 liter of water) to control Root rot in Paddy.,BARGARH,1
19314,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Can I use AZOXYSTROBIN 167  TRICYCLAZOLE 333 SC against blast in Paddy,Advised that yes you can spray AZOXYSTROBIN 16.7% + TRICYCLAZOLE 33.3% SC against blast in Paddy.,BARGARH,1
19323,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Tillering is not coming in paddy,Recommended to apply Iffco sagarika @ 10 kg per acre or iffco sagarika liquid @ 2 ml per litre of water. (400 ml per acre).,BARGARH,1
19325,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper infestation in paddycan i apply Dinotefuran 15  Pymetrozine 45 WG,Yes you can  spray Dinotefuran 15% + Pymetrozine 45% WG)@133.2 gm/ acre(10g/15lt of water) to control brown planthopper infestation in paddy ,BARGARH,1
19326,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer infestation infestation in paddy crop can i apply Profenophos 40  Cypermethrin 4,Yes you can spray Profenophos 40% + Cypermethrin 4%@ 2-2.5ml/liter(400-600ml/200lt of water)(30-45ml/15lt of water),BARGARH,1
19327,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,What is the duration of effect of Dinotefuran 15  Pymetrozine 45 WG in paddy crop for controlling brown plant hopper,Duration of effect of Dinotefuran 15% + Pymetrozine 45% WG in paddy crop for controlling brown plant hopper is 15 to 20 days ,BARGARH,1
19333,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Brown plant hopper in paddy ,Recommended to spray Chess ( Pymetrozine 50 % WG ) @ 120 g per 200 litre of water per 1 acre of land (9 g per 15 litre water) and to do alternate wetting and drying and to do alley to control  Brown plant hopper in paddy ,BARGARH,1
19334,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Dose of Humic acid,Dose of Symbiosis Agro BEST WAY 55 Humic Acid @ 500ml in 200 liter of water per acre.,BARGARH,1
19335,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper in paddy,Recommended to spray Chess ( Pymetrozine 50 % WG ) @ 120 g per 200 litre of water per 1 acre of land (9 g per 15 litre water)  to control brown plant hopper in paddy.,BARGARH,1
19336,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,White backed plant hopper infestation in paddy ,"Recommended to spray Chess ( Pymetrozine 50 % WG ) @ 120 g per 200 litre of water per 1 acre of land (9 g per 15 litre water)
",BARGARH,1
19337,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Hexaconazole 75 WG dose,Recommended to spray Hexaconazole 75% WG@30gm per 200 litres of water per acre of land (2gm per 15 litres of water),BARGARH,1
19342,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper in paddy,Recommended to spray Dinotefuran 15% + Pymetrozine 45% WG @ 133.2 gm/ acre for control of brown plant hopper in paddy.,BARGARH,1
19343,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Advance fungicide for controlling neck blast in paddy,Recommended to spray Tricyclazole 75% WP @ 130 g per 200 litre of water per 1 acre of land(9.75-10g per 15lt of water ) to control blast disease or recommended  to spray Hexaconazole 5SC @2ml/lt of water  to control blast+bph+can,BARGARH,1
19344,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Advance fungicide to control neck blast in paddy ,Recommended to spray Tricyclazole 75% WP @ 130 g per 200 litre of water per 1 acre of land(9.75-10g per 15lt of water ) to control blast disease  or to spray Hexaconazole 5SC @2ml/lt of water  to control blast,BARGARH,1
19345,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Insecticide for controlling brown plant hopper infestation in paddy ,Recommended to spray Chess ( Pymetrozine 50 % WG ) @ 120 g per 200 litre of water per 1 acre of land (9 g per 15 litre water) ,BARGARH,1
19347,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper in paddy ,Recommended to spray Chess ( Pymetrozine 50 % WG ) @ 120 g per 200 litre of water per 1 acre of land (9 g per 15 litre water) and to do alternate wetting and drying and to do alley to control Brown plant hopper in paddy ,BARGARH,1
19353,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Bacterial leaf blight in Paddy,"Recommended to spray Copper Oxychloride 600 g + Plantomycin 200 g in 200 litre of water per 1 acre of land (Copper Oxychloride @ 45 g + Plantomycin 15 g in 15 Litre water) to control Bacterial leaf blight in Paddy.
",BARGARH,1
19354,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Preventive for gundhi bug in paddy,Recommended to spray neem oil @ 3ml/lit water for preventive for gundhi bug in paddy.,BARGARH,1
19358,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in paddy,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land - systemic & Broad spectrum  to control stem borer in paddy.,BARGARH,1
19359,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Brown plant hopper in paddy ,Recommended to spray DuPont's Pexalon (Triflumezopyrim 10% SC) @ 94 ml with 200 litre of water per acre of land and to do  alternate wetting and drying and to do alley to control  Brown plant hopper in paddy ,BARGARH,1
19360,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Brown plant hopper in paddy ,Recommended to spray DuPont's Pexalon (Triflumezopyrim 10% SC) @ 94 ml with 200 litre of water per acre of land and to do  alternate wetting and drying and to do alley to control  Brown plant hopper in paddy ,BARGARH,1
19362,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,"Brown spot of Paddy
","Recommended to spray Azotrix ( Azoxystrobin 16.7 % + Tricyclazole 33.3% SC ) @ 200 ml per 200 litre of water per 1 acre of land  to control Brown spot of Paddy
",BARGARH,1
19364,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper BPH in Paddy,Recommended to spray Pymetrozine 50%WG(CHESS) @ 10gm with 15 liter of water for control of Brown plant hopper (BPH) in Paddy.,BARGARH,1
19367,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Green leafhopper in Paddy,"Recommended to spray Ulala ( Flonicamid 50 % WG ) @ 65 g per 200 litre of water per 1 acre of land (5 g in 15 Litre water) to control Green leafhopper in Paddy
",BARGARH,1
19370,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Preventive for stem borer in paddy,Advised to apply fertera @4 kg/acre preventive for stem borer in paddy.,BARGARH,1
19372,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Sheath blight in paddy,Recommended to spray Hexaconazole 5% EC @ 400 ml per 200 litre of water per 1 acre of land + Validamycin 3% L @ 2ml per liter of water for control Sheath blight in paddy.,BARGARH,1
19377,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Bacterial leaf blight in Paddy,"Recommended to spray Copper Oxychloride 600 g + Plantomycin 200 g in 200 litre of water per 1 acre of land (Copper Oxychloride @ 45 g + Plantomycin 15 g in 15 Litre water) to control Bacterial leaf blight in Paddy.
",BARGARH,1
19378,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Root rot in paddy,"Recommended to spray Ridomil gold ( Metalaxyl-m  4% w/w + Mancozeb - 64% w/w ) @ 500 gm per 200 litre of water per 1 acre of land  ( foot rot , red rot , sett rot , phytopthora blight ",BARGARH,1
19379,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Sheath blight in paddy ,Recommended to spray Nativo (Tebuconazole 50% + Trifloxystrobin 25% WG) @ 100 g in 200 Litre water (8 g in 15 Litre water) per acre.,BARGARH,1
19380,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Grasshopper in paddy field ,Recommended to spray IFFCO Shinzen Plus  Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land(30ml/15lt of water).,BARGARH,1
19386,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Brown plant hopper in Paddy ,"Recommended to spray Pymetrozine 50%wg (chess)10gm in 15 liters water to control Brown plant hopper in Paddy 
",BARGARH,1
19387,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,gundhi bug infestation in paddy,Recommended to spray Cypermethrin 5% EC @ 400 ml per 200 litre of water per  1 acre of land,BARGARH,1
19392,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown plant hopper in Paddy,"Recommended to spray Imagine upl (Flupyrine 10 % SC) @ 2 ml per litre to control Brown plant hopper in Rice.
",BARGARH,1
19395,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Case worm in Paddy,Recommended to spray (Chloropyriphos 50 EC + Cypermethrin 5% EC ) @ 400 ml per 200 litre of water per 1 acre of land,BARGARH,1
19399,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Neck blast in Paddy ,"Recommended to spray Azotrix ( Azoxystrobin 16.7 % + Tricyclazole 33.3% SC ) @ 200 ml per 200 litre of water per 1 acre of land as precaution dose for Neck blast in Paddy 
",BARGARH,1
19400,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Tungro virus disease in paddy ,Advised to control vector by spraying  Imidacloprid 70% WG @ 30 g in 200 Litre water per acre and Leaf yellowing can be minimized by spraying 2 % urea mixed with Mancozeb at 2.5 gm/lit.,BARGARH,1
19414,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Cartap hydrochloride 75 dose,Recommended to spray Cartap hydrochloride 75%  @ 400 g per 200 litre of water per 1 acre of land,BARGARH,1
19421,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in Paddy ,Recommended to spray  Chlorpyrifos 20%ec 40ml in 15 liters water to control Stem borer in Paddy ,BARGARH,1
19422,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Neck blast in paddy,"Recommended to spray Isoprothiolane 40% EC@ 300 ml per 200 litre of water per acre (1.5 ml/ litre of water) or  Azotrix ( Azoxystrobin 16.7 % + Tricyclazole 33.3% SC ) @ 200 ml per 200 litre of water per 1 acre of land 
to control Neck Blast in Paddy. ",BARGARH,1
19423,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Neck Blast in Paddy,Recommended to spray Isoprothiolane 40% EC@ 300 ml per 200 litre of water per acre (1.5 ml/ litre of water) to control Neck Blast in Paddy.,BARGARH,1
19424,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,Brown plant hopper in paddy ,Recommended to spray Chess ( Pymetrozine 50 % WG ) @ 120 g per 200 litre of water per 1 acre of land (9 g per 15 litre water) to control Brown plant hopper in paddy ,BARGARH,1
19425,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in paddy ,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land - systemic & Broad spectrum,BARGARH,1
19429,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,BPH in PaddY,Recommended to spray Osheen (Dinotefuran 20% SG ) @ 80 g per 200 litre of water per 1 acre of land (6 g in 15 Litre water)(Control BPH in Paddy),BARGARH,1
19430,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Blast  in Paddy,Recommended to spray Tricyclazole 75 WP @ 130 g per 200 litre of water per 1 acre of land to control Blast in Paddy.,BARGARH,1
19432,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,sucking pest attack in Attack,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) ,BARGARH,1
19434,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Brown Plant Hopper in Rice,"Recommended to spray Chess ( Pymetrozine 50 % WG ) @ 120 g per 200 litre of water per 1 acre of land (9 g per 15 litre water).
",BARGARH,1
19436,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Mixing of fungicide and insecticide in paddy,Advised not to mix fungicide and insecticide for brown plant hopper in paddy.,BARGARH,1
19437,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Nano urea in paddy,Recommended to spray Nano urea @ 4  ml per litre of water for usage in paddy.,BARGARH,1
19438,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,MOP  dosage in paddy,Recommended to spray MOP @ 5 gm per 1 L water in Paddy,BARGARH,1
19440,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Root rot in paddy,Recommended to spray Nativo (Tebuconazole 50% + Trifloxystrobin 25% WG) @ 100 g in 200 Litre water (8 g in 15 Litre water) per acre to control root rot in paddy.,BARGARH,1
